Feature,Coefficient,Odds_Ratio
SiteName_By K64/65,0.02253519420239962,1.0227910298455394
DepartmentName_Compressed Air Downstairs,0.021092635730232158,1.021316657669893
SiteName_R37,0.013201240596888125,1.013288761678434
DepartmentName_QC Micro,0.00960400365064409,1.0096502700894372
SiteName_By Aux02,0.008788503891418867,1.0088272361748696
SiteName_By K42,0.0052532472413896,1.005267069738411
Air_AirUnits.AirType_(CFU/160L),0.0022396437096093673,1.0022421535849748
SiteName_R36,-0.00024319434975328722,0.9997568352195955
SiteName_LFH 896,-0.0005549481403388069,0.9994452058149
SiteName_Module A Upper,-0.002480345624652164,0.9975227278909046
SiteName_Module A Lower,-0.002480345624652164,0.9975227278909046
SiteName_Aisle 16,-0.003823808617810898,0.9961834928289521
SiteName_Aisle 17,-0.003823808617810898,0.9961834928289521
SiteName_(17) Inside PAL 5,-0.004015798836019993,0.995992253701396
SiteName_Aisle 14,-0.004025966537590076,0.9959821268008779
SiteName_Aisle 13,-0.004025966537590076,0.9959821268008779
SiteName_Aisle 01,-0.004025966537590076,0.9959821268008779
SiteName_Aisle 12,-0.004025966537590076,0.9959821268008779
SiteName_(16) Inside PAL 6,-0.005885731201079051,0.9941315557826652
SiteName_Lane 6 South,-0.0072213585995801275,0.9928046527603185
SiteName_(14) QA office hallway,-0.007222317624224244,0.9928037006366462
SiteName_Aisle 02,-0.007577130735221308,0.9924515033528158
SiteName_Aisle 05,-0.007577130735221308,0.9924515033528158
SiteName_Aisle 10,-0.007820718335366192,0.9922097839139782
SiteName_Aisle 03,-0.007820718335366192,0.9922097839139782
SiteName_Aisle 07,-0.007820718335366192,0.9922097839139782
SiteName_(15) Mens locker #6,-0.008595879132424319,0.9914409598066817
SiteName_Aisle 08,-0.009149052857157239,0.9908926723811727
SiteName_(D07) Inside Mens LR #4,-0.009576861816116958,0.9904688502824699
SiteName_Lane #2,-0.01068697094821612,0.9893699318392648
SiteName_(18) Womens locker #5,-0.011020329334761754,0.9890401720422408
SiteName_Lane #4,-0.011132011917742334,0.9889297196490747
SiteName_(D09) Womens LR #3 Prior to PAL exit,-0.011161600139439095,0.9889004594101686
SiteName_Aisle 09,-0.011346348009419974,0.9887177790320945
SiteName_Aisle 15,-0.01266787066177312,0.9874120290694287
SiteName_Aisle 04,-0.012909401468426144,0.9871735674446223
SiteName_(13) Fragrance Stairs,-0.015473365268437475,0.9846457321772386
SiteName_(D08) Womens LR #1 Prior to PAL exit,-0.015834599476768144,0.9842901086912407
SiteName_(D06) LR by PAL 2,-0.01583459947676817,0.9842901086912407
SiteName_Lane #3,-0.016133041700046903,0.9839963987927491
SiteName_Lane 1 South,-0.017575898941174638,0.9825776562311291
SiteName_Lane #6,-0.01800708550464765,0.9821540732763956
SiteName_Lane 4 North,-0.01836536928730037,0.9818022464305645
SiteName_Lane 1 North,-0.018390937821770172,0.9817771435069079
AreaName_WC 3 - Tubes (East),-0.018498005845817955,0.981672032195228
SiteName_Lane 2 North,-0.019031693291335226,0.9811482659322012
SiteName_Lane 5 South,-0.01916754860402723,0.9810149807816886
SiteName_Intersection of east-west/north-east,-0.01922392022366146,0.980959680937022
Location_HEPA Hood,-0.020440229153469464,0.9797672562427254
SiteName_(D05) Womens LR infront of exit,-0.02068111573682332,0.9795312718797617
SiteName_Lane 6 North,-0.021625287233764924,0.9786068628414955
SiteName_(D01) Center of PAL-1,-0.021986119332562594,0.9782538137728273
SiteName_(D03) Center of PAL-3,-0.02224019795059381,0.9780052919691153
SiteName_(D02) Center of PAL-2,-0.023296699992181355,0.9769725730123694
SiteName_Lane #8,-0.026476339375753572,0.9738710859607678
SiteName_Lane 4 South,-0.02656398280958222,0.9737857362949113
SiteName_Lane #5,-0.027656834772756576,0.9727221139380399
SiteName_(04) By PAL-6,-0.028130996575433595,0.9722609955979823
SiteName_Lane 3 South,-0.029179007498883795,0.9712425891978789
SiteName_Lane 2 South,-0.029504742788952522,0.9709262727318742
SiteName_Lane 3 North,-0.03193065852439889,0.9685737420831884
SiteName_(D04) Mens LR infront of exit,-0.033672344591344536,0.9668882589091446
SiteName_Lane 5 North,-0.0337859112474732,0.9667784588776596
SiteName_By Tank09,-0.03469729153529087,0.9658977574354789
SiteName_(06) By Door 2201,-0.035138302036049215,0.9654718802968384
SiteName_Lane #7,-0.036260124266226726,0.9643893997677945
SiteName_R35,-0.03732674614102562,0.9633613093275245
SiteName_(07) Between STOP Gates,-0.03848369464373365,0.9622473943984865
Location_Filler,-0.03854434687516012,0.9621890337167026
SiteName_(03) By PAL-5,-0.04033082980593219,0.9604716339412435
SiteName_Lane #1,-0.04175718971314171,0.9591026322872169
SiteName_(10) By Girder A-13,-0.042382894975793374,0.9585027044313531
SiteName_By Tank13,-0.044389316843159506,0.9565814716914733
SiteName_By K76/77,-0.04444220348971147,0.9565308826430362
SiteName_(11) By Door 2313,-0.044796056506848723,0.9561924711817174
SiteName_(05) By Door 2111,-0.044913735679775316,0.9560799538631524
SiteName_(09) By Door 2305,-0.04498328144240887,0.9560134648656632
