Mid,DepartmentName,AreaName,SiteName,Location,Alert,Action,SampleDate,CFU,Zone,Frequency,Action/Alert Count,Air_AirUnits.AirType,Year,Month,MonthName,DayOfYear,Season
47206,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,1.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
47220,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47221,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47226,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-14,19.0,Clean,Monthly,,(CFU/160L),2023,8,August,226,Summer
47425,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,1.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47517,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,4.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47546,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,5.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47547,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,5.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47653,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,7.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47664,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-01,2.0,Clean,Monthly,,(CFU/160L),2024,2,February,32,Winter
47672,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-21,2.0,Clean,Monthly,,(CFU/160L),2024,2,February,52,Winter
47673,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-21,2.0,Clean,Monthly,,(CFU/160L),2024,2,February,52,Winter
47674,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-22,2.0,Clean,Monthly,,(CFU/160L),2024,2,February,53,Winter
47676,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-20,2.0,Clean,Monthly,,(CFU/160L),2024,3,March,80,Spring
47681,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,2.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
47682,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,2.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
47683,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,2.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
47684,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-25,2.0,Clean,Monthly,,(CFU/160L),2024,3,March,85,Spring
47685,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-10,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,101,Spring
47686,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-10,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,101,Spring
47690,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
47691,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
47692,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
47693,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
47694,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-20,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,111,Spring
47697,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-22,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,113,Spring
47698,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-22,2.0,Clean,Monthly,,(CFU/160L),2024,4,April,113,Spring
47701,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-11,2.0,Clean,Monthly,,(CFU/160L),2024,5,May,132,Spring
47703,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-14,2.0,Clean,Monthly,,(CFU/160L),2024,5,May,135,Spring
47763,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,8.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47788,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,9.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
47802,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,2.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
47803,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,2.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
47805,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,2.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
47812,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-20,2.0,Clean,Monthly,,(CFU/160L),2024,8,August,233,Summer
47813,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-20,2.0,Clean,Monthly,,(CFU/160L),2024,8,August,233,Summer
47815,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-22,2.0,Clean,Monthly,,(CFU/160L),2024,8,August,235,Summer
47823,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-09-29,2.0,Clean,Monthly,,(CFU/160L),2024,9,September,273,Fall
47827,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-04,2.0,Clean,Monthly,,(CFU/160L),2024,10,October,278,Fall
47828,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-30,2.0,Clean,Monthly,,(CFU/160L),2024,10,October,304,Fall
47831,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,2.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
47850,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,11.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
48010,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-15,11.0,Clean,Monthly,,(CFU/160L),2023,8,August,227,Summer
48256,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-29,3.0,Clean,Monthly,,(CFU/160L),2024,1,January,29,Winter
48257,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-01,3.0,Clean,Monthly,,(CFU/160L),2024,2,February,32,Winter
48258,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-01,3.0,Clean,Monthly,,(CFU/160L),2024,2,February,32,Winter
